epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,lr,batch_size,amp,epoch_time_sec
1,0.9607959845486809,0.5974525721634135,0.36334341764450073,0.001,2,true,3.8699
2,0.8249327119658975,0.509303002673037,0.3156297110459384,0.001,2,true,2.6861
3,0.7130816684049719,0.4407429090317558,0.27233876200283275,0.001,2,true,2.7641
4,0.6947704071507734,0.43004580017398386,0.26472460434717293,0.001,2,true,2.6509
5,0.6483817714102128,0.40474796119858236,0.24363380407585816,0.001,2,true,2.904
6,0.5688701683984083,0.3510250300168991,0.217845140134587,0.001,2,true,2.8752
7,0.5896006971597672,0.372409371768727,0.21719132363796234,0.001,2,true,3.0964
8,0.5130164965110666,0.3218715765020427,0.19114492044729345,0.001,2,true,2.719
9,0.5879921387223637,0.3765707484939519,0.2114213862839867,0.001,2,true,2.6778
10,0.5637516484541052,0.36436551064252853,0.19938614000292385,0.001,2,true,2.5183
11,0.5293699020848555,0.3374912611701909,0.19187863697023952,0.001,2,true,2.5824
12,0.49188880359425263,0.3132658574511023,0.17862294964930592,0.001,2,true,2.6191
13,0.47087012231349945,0.301197568721631,0.1696725540301379,0.001,2,true,2.76
14,0.45126957358682857,0.2895658550893559,0.1617037180592032,0.001,2,true,2.8796
15,0.4771877053905936,0.31415357133921457,0.16303413317484014,0.001,2,true,2.657
16,0.4177701639778474,0.26388707143418927,0.15388309429673588,0.001,2,true,2.9075
17,0.4147805983529371,0.2676864437320653,0.1470941524295246,0.001,2,true,2.8588
18,0.44378087187514587,0.28580403064980225,0.15797684122534358,0.001,2,true,2.5077
19,0.40577595900086794,0.26511186142178145,0.14066409714081707,0.001,2,true,2.7709
20,0.37104427639175863,0.24058826596421354,0.13045601108494928,0.001,2,true,2.9494
21,0.3621848010841538,0.2379801691893269,0.1242046338670394,0.001,2,true,2.5365
22,0.43021806811585145,0.28376001294921427,0.14645805166048162,0.001,2,true,2.8832
23,0.3855633722508655,0.253216246909955,0.13234712534091053,0.001,2,true,2.7175
24,0.3362204498227905,0.21780943695236654,0.11841101155561559,0.0005,2,true,2.5589
25,0.31900810099699917,0.20421532914042473,0.11479277207570918,0.0005,2,true,2.7588
26,0.3090917590786429,0.20058617762782993,0.10850557947860044,0.0005,2,true,2.7413
27,0.2947509187985869,0.18781330151592984,0.10693761794006124,0.0005,2,true,2.6651
28,0.292646784992779,0.1883932604070972,0.10425352524308597,0.0005,2,true,2.8176
29,0.28071053326129913,0.18027271198875763,0.10043782258734983,0.0005,2,true,2.6728
30,0.2879699096083641,0.18567624293705998,0.10229366754784304,0.0005,2,true,2.9278
31,0.28358299241346474,0.18335202665013425,0.10023096554419574,0.0005,2,true,2.8021
32,0.31397928209865794,0.2037490321432843,0.11023024864056531,0.0005,2,true,2.8222
33,0.3138321629341911,0.20433014828492613,0.10950201399186078,0.0005,2,true,2.8527
34,0.2895153944983202,0.1884016401189215,0.10111375153064728,0.0005,2,true,3.0978
35,0.28961211618255167,0.18922138477072997,0.1003907314118217,0.0005,2,true,2.6842
36,0.3181564211845398,0.21129033188609517,0.1068660871070974,0.0005,2,true,2.4896
37,0.2907032147049904,0.19001376081038923,0.10068945323719698,0.0005,2,true,2.5375
38,0.2625216140466578,0.17145829757346825,0.0910633162540548,0.0005,2,true,2.7851
39,0.2506413074100719,0.16337060139459722,0.08727070426239687,0.0005,2,true,2.4259
40,0.2298641686930376,0.14593762444222674,0.08392654446994557,0.0005,2,true,2.7718
41,0.2737380778964828,0.18230896092513027,0.09142911609481363,0.0005,2,true,2.5982
42,0.27928266674280167,0.1869518932174234,0.09233077308710884,0.0005,2,true,2.6909
43,0.2546766825458583,0.1633667053983492,0.09130997692837435,0.0005,2,true,2.5943
44,0.26623640121782527,0.17301155341898694,0.09322484801797305,0.0005,2,true,2.6804
45,0.26160648640464335,0.1728418712668559,0.0887646140421138,0.0005,2,true,2.9266
46,0.2466397793853984,0.1605941990719122,0.08604557987521677,0.00025,2,true,2.6866
47,0.22262652875745997,0.14286641184897983,0.07976011581280652,0.00025,2,true,2.8989
48,0.22213752480114207,0.14286386265474207,0.0792736630229389,0.00025,2,true,2.689
49,0.22769712788217208,0.1478803179719869,0.07981680947191575,0.00025,2,true,2.6517
50,0.21263830473317819,0.13848935089567127,0.07414895471404581,0.00025,2,true,2.8123
51,0.21367201340549133,0.13682343898450627,0.07684857442098506,0.00025,2,true,2.5529
52,0.20868189150796218,0.1331902179209625,0.0754916729295955,0.000125,2,true,2.6276
53,0.21131767529775114,0.13639127879458315,0.074926396503168,0.000125,2,true,2.5767
54,0.200325721546131,0.12845973276040135,0.0718659890048644,0.000125,2,true,2.7947
55,0.20675743393161716,0.13348452746868134,0.07327290580553167,0.000125,2,true,2.9005
56,0.20226741713636062,0.13017481412081158,0.07209260323468376,0.000125,2,true,2.7897
57,0.20386252771405614,0.13204738738782265,0.07181514010709875,0.000125,2,true,2.5723
58,0.19229135837625055,0.12397569746655576,0.0683156620053684,0.000125,2,true,2.563
59,0.20059150369728312,0.12811358064851341,0.07247792272006764,0.000125,2,true,2.768
60,0.19686206561677597,0.12697194034562392,0.06989012658596039,0.000125,2,true,2.5778
61,0.19755393420072162,0.1290450402918984,0.06850889500449686,6.25e-05,2,true,2.7956
62,0.18563667903928197,0.11772845795049387,0.06790822043138392,6.25e-05,2,true,2.7772
63,0.1911817210562089,0.12345582422088175,0.06772589683532715,6.25e-05,2,true,2.6743
64,0.19315747544169426,0.12417287708205335,0.06898459879791036,6.25e-05,2,true,2.8139
65,0.17964196994024165,0.11580891512772616,0.06383305437424604,6.25e-05,2,true,2.7819
66,0.1829109544701436,0.11615218550843351,0.06675876852344065,6.25e-05,2,true,3.0662
67,0.19235376772635124,0.12369279410032664,0.06866097450256348,6.25e-05,2,true,2.7273
68,0.18304828488651445,0.11775306261637632,0.06529522117446451,6.25e-05,2,true,2.5677
69,0.17878814063528004,0.11335046874249682,0.06543767189278323,6.25e-05,2,true,2.7766
70,0.18495956786415158,0.11971167770817,0.06524788982727948,6.25e-05,2,true,2.9245
71,0.17180553166305318,0.10919191545861609,0.06261361609486972,6.25e-05,2,true,2.7729
72,0.17742586179691203,0.11508528866312083,0.06234057422946481,3.125e-05,2,true,2.757
73,0.18535532758516424,0.11992553796838312,0.06542978917851168,3.125e-05,2,true,23.9185
74,0.17884528549278483,0.11401220695937381,0.0648330783142763,3.125e-05,2,true,2.8312
75,0.17573924362659454,0.11281055343501709,0.06292868975330801,3.125e-05,2,true,2.8929
76,0.17771760987884858,0.11286459161954768,0.06485301782103146,3.125e-05,2,true,2.82
77,0.17534184959881446,0.11232341365779147,0.06301843594102298,3.125e-05,2,true,2.7071
78,0.1851353794336319,0.11993564577663646,0.06519973278045654,3.125e-05,2,true,2.4361
79,0.17779269376221826,0.11493138662155937,0.06286130757892833,1.5625e-05,2,true,2.5653
80,0.18698463347904823,0.12224092991913066,0.0647437029025134,1.5625e-05,2,true,2.6696
81,0.18203922974712708,0.11585381736650187,0.0661854121614905,1.5625e-05,2,true,2.8187
82,0.18095806745045326,0.11564412274781395,0.06531394492177402,1.5625e-05,2,true,2.7506
83,0.183796808561858,0.11971693201100125,0.06407987633172203,1.5625e-05,2,true,2.8651
84,0.17524870090624867,0.11238194322761368,0.0628667570212308,1.5625e-05,2,true,2.8599
85,0.17753323364783735,0.11320454638232202,0.06432868715594797,7.8125e-06,2,true,2.8494
86,0.17211746095734484,0.1095196065657279,0.0625978550490211,7.8125e-06,2,true,2.7336
87,0.174458217314061,0.11228884340209119,0.06216937303543091,7.8125e-06,2,true,2.8173
88,0.1789462178507272,0.1145873475162422,0.06435887077275444,7.8125e-06,2,true,2.5733
89,0.17728813737630844,0.11304269073640599,0.06424544751644135,7.8125e-06,2,true,2.5755
90,0.1705499107346815,0.10922063799465404,0.06132927274002748,7.8125e-06,2,true,2.8158
91,0.17559775052701726,0.1127639017341768,0.06283384912154254,3.90625e-06,2,true,3.0515
92,0.1718337906195837,0.11073881738326129,0.06109497126410989,3.90625e-06,2,true,2.8443
