source_stage,source_manifest,source_protocol_version,source_run_name,consumer_stage,consumer_file,consumption_boundary,run_name,stage,dataset,model_name,seed,split_role,metric_name,metric_key,metric_value,sample_count,checkpoint_path,checkpoint_sha256,independent_metric_check_path,result_tag,aggregation,evidence_status
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,Dice,dice,0.921399646318546,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,IoU,iou,0.8625357930339794,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,HD95,hd95,25.906810870170585,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,Boundary F1,boundary_f1,0.7219223670607018,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,F1,f1,0.7214907114386583,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,Object Dice,objdice,0.8080344212211816,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,Object Hausdorff,object_hausdorff,82.39250045049731,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,Dice,dice,0.910800779803045,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,IoU,iou,0.8450660202049128,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,HD95,hd95,32.80215909361837,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
