run_name,stage,dataset,model_name,config_version,bn_policy_version,data_proto_version,train_proto_version,eval_proto_version,eval_cast_policy,boundary_metric_width,boundary_metric_impl,connected_components_impl,connected_components_connectivity,seed,split_role,metric_name,metric_value,best_selector,threshold_source,threshold_value,checkpoint_path,result_tag,aggregation,note
A2_UNet_GlaS_seed3407,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,3407,testB,IoU,0.7697275798985147,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed3407/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed3407,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,3407,testB,HD95,58.011386625766725,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed3407/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed3407,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,3407,testB,Boundary F1,0.6246758252647273,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed3407/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,F1,0.5533527703158959,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,Object Dice,0.7474647291368952,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,Object Hausdorff,100.98725212550472,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,Dice,0.8559264432148252,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,IoU,0.7658222134191167,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,HD95,56.96408308029173,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,Boundary F1,0.6394953790991945,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
