run_name,stage,dataset,model_name,config_version,data_proto_version,train_proto_version,eval_proto_version,eval_cast_policy,boundary_metric_width,boundary_metric_impl,connected_components_impl,connected_components_connectivity,seed,split_role,metric_name,metric_value,best_selector,threshold_source,threshold_value,checkpoint_path,result_tag,aggregation,note
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,Object Hausdorff,102.87904234291008,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,Dice,0.8885386094677046,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,IoU,0.8126407407586232,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,HD95,52.85692438602445,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testA,Boundary F1,0.6828523026223606,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,F1,0.611448456514246,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,Object Dice,0.7793957961240695,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,Object Hausdorff,118.27290860703434,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,Dice,0.8672605541558068,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,IoU,0.779187503635499,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
