epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,lr
1,1.048325009205762,0.6178786649423487,0.4304463468930301,0.001
2,0.9572485860656289,0.5834539997227052,0.3737945863429238,0.001
3,0.8933651482357698,0.5480992215521195,0.3452659275601892,0.001
4,0.9376097339041093,0.5804050363161984,0.3572046984644497,0.001
5,0.8424833364346448,0.5229603832258898,0.3195229497025995,0.001
6,0.8103884984465206,0.5078179056153578,0.30257059020154614,0.001
7,0.8115952979115879,0.5089034210233128,0.30269188214750853,0.001
8,0.7968716709052815,0.5072348380790037,0.2896368310732,0.001
9,0.7566302664139691,0.47888149233425364,0.27774877846241,0.001
10,0.7255139456075781,0.4621293939211789,0.263384552562938,0.001
11,0.7533597393947489,0.4839019451071234,0.2694577942876255,0.001
12,0.7404572034583372,0.4711053275010165,0.26935187683385964,0.001
13,0.6802221773301854,0.43598292592693777,0.24423924877363093,0.001
14,0.6758787833592471,0.4354306415599935,0.24044814530540914,0.001
15,0.7021112713743659,0.45531440219458413,0.2467968726859373,0.001
16,0.6934017959763022,0.44466593861579895,0.24873585648396435,0.001
17,0.6512751842246336,0.41671042582568,0.2345647557693369,0.001
18,0.6329142030547646,0.4098919573075631,0.22302224618547103,0.001
19,0.6270308424444759,0.4020993372096735,0.224931504796533,0.001
20,0.6057658958084443,0.3882675315527355,0.21749836381743937,0.001
21,0.6447503224891775,0.4220518360243124,0.22269849128582897,0.001
22,0.6069697194239673,0.39880044100915685,0.20816927885307984,0.001
23,0.5940077804467258,0.380251164383748,0.2137566112420138,0.001
24,0.6023817097439486,0.3880608011694515,0.2143209076979581,0.001
25,0.6374989116893095,0.4195076139534221,0.21799130650127635,0.001
26,0.5663090549847659,0.3667052011279499,0.1996038547333549,0.0005
27,0.5349945425987244,0.3426859050112612,0.19230863714919372,0.0005
28,0.5624019179274055,0.36796195454457226,0.19443996250629425,0.0005
29,0.5140525295453913,0.3314713642877691,0.18258116525762222,0.0005
30,0.5792062861077926,0.3798800807665376,0.19932620490298553,0.0005
31,0.5270585557993721,0.3418356806916349,0.18522287642254548,0.0005
32,0.5156079241458107,0.33511340311344934,0.1804945153348586,0.0005
33,0.5043444651014665,0.330148825312362,0.1741956419804517,0.0005
34,0.538952458430739,0.35212337269502525,0.18682908661225262,0.0005
35,0.4852767236092511,0.3148203698151252,0.17045635160277872,0.0005
36,0.47435913541737723,0.31147785134175243,0.162881282322547,0.00025
37,0.45353390977663155,0.2954377295339809,0.15809618199572845,0.00025
38,0.4691007014583139,0.30542372386245165,0.16367697803413167,0.00025
39,0.4562662611989414,0.2952189853086191,0.16104727282243617,0.00025
40,0.46025190195616555,0.30134422244394526,0.1589076808270286,0.00025
41,0.4617624572094749,0.2996643768513904,0.16209807904327617,0.00025
42,0.44658267278881636,0.28892148768200593,0.15766118554507985,0.00025
43,0.4333946034312248,0.2816980237908223,0.1516965794212678,0.00025
44,0.44650832081542297,0.2906626235036289,0.15584569555871627,0.00025
45,0.4283132000881083,0.2797205128213939,0.14859268945806167,0.00025
46,0.4435131383292815,0.28787266857483806,0.15564047150752125,0.00025
47,0.4631946349845213,0.3030294666395468,0.16016516878324397,0.00025
48,0.4321256937349544,0.2791554099496673,0.15297028247047872,0.00025
49,0.4458640222163761,0.2909718024380067,0.1548922175870222,0.00025
50,0.41925476885893764,0.2759480033727253,0.14330676548621235,1.5625e-05
51,0.407470620730344,0.26321976062129526,0.14425086098558762,1.5625e-05
52,0.3905695825815201,0.2531099582419676,0.13745961908031912,1.5625e-05
53,0.40679314732551575,0.2644382737138692,0.14235487317337708,1.5625e-05
54,0.39173633429933996,0.25266899212318306,0.1390673404230791,1.5625e-05
55,0.3974211426342235,0.2571756033336415,0.14024554193019867,1.5625e-05
56,0.3962532864773975,0.2577037425602184,0.13854954347890966,1.5625e-05
57,0.40368055245455575,0.2632289213292739,0.14045163200182073,7.8125e-06
58,0.39868836324004564,0.25860125702970166,0.14008710752515233,7.8125e-06
59,0.3687547703876215,0.23595339936368606,0.1328013714622049,7.8125e-06
60,0.3858423105934087,0.24827923801015406,0.13756307258325465,7.8125e-06
61,0.3951239244026296,0.2541671921225155,0.14095673841588638,7.8125e-06
62,0.39293089509010315,0.25760502280557857,0.13532587272279403,7.8125e-06
63,0.4141729311907993,0.2718598150155124,0.14231311924317303,3.90625e-06
64,0.40372560348580866,0.2637690537992646,0.1399565470569274,3.90625e-06
65,0.39555752058239546,0.2546330212670214,0.14092449843883514,3.90625e-06
66,0.4072919956901494,0.2672726465936969,0.1400193519452039,3.90625e-06
67,0.39664853408056144,0.2579263102482347,0.1387222286532907,3.90625e-06
68,0.3760692959322649,0.24048283389386008,0.13558646160013535,3.90625e-06
69,0.38263969079536553,0.24756035668885007,0.13507933301084182,1.953125e-06
70,0.38854092140408125,0.2495275459745351,0.1390133771826239,1.953125e-06
