epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,epoch_loss_boundary,lr,batch_size,amp,epoch_time_sec
1,1.1248440146446228,0.5762970254701727,0.4115336274399477,0.45671121425488415,0.001,2,true,5.5761
2,0.936278760433197,0.4882025192765629,0.34179646302671995,0.35426590635496025,0.001,2,true,3.7251
3,0.866986062596826,0.4536048357977587,0.3087180125362733,0.34887733661076603,0.001,2,true,4.1245
4,0.8254315292134005,0.43503232650897083,0.28522765110520754,0.35057181996457715,0.001,2,true,3.9692
5,0.7318980693817139,0.3836700973265311,0.25054142054389505,0.3256218266837737,0.001,2,true,3.8499
6,0.7266392751651651,0.3918203303919119,0.23928290254929485,0.31845348459832806,0.001,2,true,4.1006
7,0.6649167888304767,0.3570251482374528,0.21719140603261836,0.30233410000801086,0.001,2,true,3.9669
8,0.6534191773218267,0.35847050696611404,0.20824540362638586,0.28901086309376883,0.001,2,true,4.289
9,0.6360045881832347,0.3472699509824024,0.20209222681382122,0.28880802498144265,0.001,2,true,3.9271
10,0.5369935246074901,0.28518418485627456,0.17084639826241663,0.2698764656396473,0.001,2,true,3.9645
11,0.5491430619183708,0.29779207531143637,0.17050820326103883,0.26947593951926513,0.001,2,true,4.1818
12,0.52225503588424,0.28409069338265586,0.16098096265512354,0.2572779125150512,0.001,2,true,3.9267
13,0.5066020970835405,0.2827163351809277,0.150358787354301,0.24508988638134563,0.001,2,true,3.9246
14,0.5579086024971569,0.3124176868621041,0.16377618645920472,0.2723824241582085,0.001,2,true,4.2222
15,0.5563799326910692,0.3134723761502434,0.1622708089211408,0.2687891476294574,0.001,2,true,3.6602
16,0.5627530602847829,0.31239863178309274,0.1734487353002324,0.2563522887580535,0.001,2,true,4.08
17,0.4721166596693151,0.2591746905270745,0.14076202406602747,0.2405998145832735,0.0005,2,true,3.5657
18,0.42723195254802704,0.2277160348261104,0.13127741918844335,0.22746164746144237,0.0005,2,true,34.5669
19,0.41977111469296846,0.22463533808203304,0.12785320334574757,0.22427522303426967,0.0005,2,true,4.0736
20,0.4046998874229543,0.2155436807695557,0.1219174011665232,0.22412934110445135,0.0005,2,true,3.8112
21,0.38357918271247077,0.20387182581950636,0.11463433854720172,0.21691005151061452,0.0005,2,true,3.8705
22,0.36944618207566876,0.19562946676331408,0.1098756912876578,0.21313672293634975,0.0005,2,true,3.9312
23,0.39796694061335397,0.2123437254306148,0.11968461818554822,0.21979531032197616,0.0005,2,true,3.9492
24,0.34934231726562276,0.18397390185033574,0.10324521801050972,0.20707732176079469,0.00025,2,true,3.6741
25,0.3582713051753886,0.18860352017423687,0.10726784695597257,0.20799977244699702,0.00025,2,true,4.2093
26,0.35053321675342675,0.18723759361926248,0.10245596924248863,0.20279885083436966,0.00025,2,true,3.8193
27,0.3520577830426833,0.18935526841703584,0.10207604397745694,0.2020882203736726,0.00025,2,true,3.9447
28,0.34172263785320167,0.18026409561143203,0.09975472180282369,0.20567939036032734,0.00025,2,true,3.9705
29,0.3353432991048869,0.1759660336024621,0.09856351245852078,0.20271250079659855,0.00025,2,true,3.906
30,0.3457561617388445,0.18147356282262242,0.10317953807466171,0.2036768649430836,0.00025,2,true,4.066
31,0.3207157262984444,0.168924381627756,0.09295330503407646,0.19612679411383235,0.00025,2,true,3.6501
32,0.3343922333682285,0.1799195174346952,0.09545486727181603,0.19672614248359904,0.00025,2,true,3.9731
33,0.3304986050900291,0.1730397856410812,0.09578199684619904,0.20558940553489854,0.00025,2,true,3.9414
34,0.33836231249220233,0.17984628502060385,0.0976748370072421,0.2028039500993841,0.00025,2,true,4.2924
35,0.3011893152314074,0.15721539079266436,0.0874926202437457,0.188271014348549,0.000125,2,true,3.9781
36,0.2974199740325703,0.15440230224938953,0.08586773013367373,0.19049980228438096,0.000125,2,true,4.1455
37,0.28621821412268805,0.1469907000222627,0.08305345650981455,0.18724684811690273,0.000125,2,true,3.582
38,0.2953652998103815,0.1508049318457351,0.08763494298738592,0.189751416006509,0.000125,2,true,3.4486
39,0.2867929633049404,0.1481759510934353,0.08305873678011053,0.18519423770553925,0.000125,2,true,3.9557
40,0.2931942466427298,0.1525060264941524,0.08457479056190043,0.18704475287128897,0.000125,2,true,3.6351
41,0.29081613745759516,0.14949895901715055,0.08469506221659043,0.18874037835527868,0.000125,2,true,3.6064
42,0.2806468426304705,0.14292732823420973,0.08180373731781454,0.18638591599815033,0.000125,2,true,4.1117
43,0.2873188445673269,0.1481327009113396,0.08329498680198894,0.18630384916768356,0.000125,2,true,4.0948
44,0.2682765656534363,0.13412786757244782,0.07909972089178421,0.18349659377161195,0.000125,2,true,3.6034
45,0.2717796809533063,0.14010238976163022,0.07708931670469396,0.18195990801734083,6.25e-05,2,true,3.8517
46,0.27306002071675134,0.1388805449447211,0.07971673239679898,0.18154247981660507,6.25e-05,2,true,3.566
47,0.27284840625875134,0.13743647089337602,0.07996727526187897,0.184815533897456,6.25e-05,2,true,3.6284
48,0.26438598115654555,0.13467478401520672,0.07523898166768692,0.18157404135255253,6.25e-05,2,true,3.5625
49,0.26441700844203725,0.13364999368786812,0.0765981945921393,0.18056271794964285,6.25e-05,2,true,3.5274
50,0.25672856762128715,0.12998465185656266,0.0731578215080149,0.1786203121437746,6.25e-05,2,true,3.7447
51,0.2670152665061109,0.13546107227311416,0.07704661348286797,0.1816919314510682,3.125e-05,2,true,29.0892
52,0.26601996930206523,0.13444258776657722,0.07732621098265928,0.1808372251689434,3.125e-05,2,true,4.0099
53,0.26210501264123354,0.13249435330576756,0.07611987345358905,0.17830261193654118,3.125e-05,2,true,3.742
54,0.2509702067164814,0.12673349305987358,0.0713543514995014,0.176274534972275,3.125e-05,2,true,3.5752
55,0.2602856084704399,0.13201255263651118,0.07510296649792615,0.17723362717558355,3.125e-05,2,true,3.765
56,0.2542986769010039,0.12767857225502238,0.07363962513559005,0.17660159310873816,3.125e-05,2,true,3.8573
57,0.2594442091443959,0.131999644505627,0.07424883982714485,0.17731907262521632,1.5625e-05,2,true,3.868
58,0.2505179967950372,0.1236019822604516,0.0741367147249334,0.17593098979662447,1.5625e-05,2,true,47.0242
