epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,epoch_loss_boundary,lr,batch_size,amp,epoch_time_sec
1,1.1096638160593368,0.5673409384839675,0.40197742160628824,0.46781815500820384,0.001,2,true,4.2293
2,0.895291433614843,0.4643379879348418,0.3235221960965325,0.3581041132702547,0.001,2,true,3.9339
3,0.8185824225930607,0.43368299743708444,0.28183264416806836,0.34355592640007243,0.001,2,true,3.9207
4,0.7807631808168748,0.4200025218374589,0.26038090008146625,0.33459918551585255,0.001,2,true,3.8515
5,0.7377714567324695,0.3962087035179138,0.24454371543491588,0.3233967734610333,0.001,2,true,3.9169
6,0.7018911698285271,0.37966760730042176,0.22759019627290614,0.31544454220463247,0.001,2,true,4.0692
7,0.6843271080185386,0.3720209497739287,0.2184571606271407,0.31282997832578774,0.001,2,true,4.7158
8,0.6222445973578621,0.3345324011409984,0.19716096274993,0.3018374377313782,0.001,2,true,3.9558
9,0.5803904077586006,0.3170645789188497,0.1771838656243156,0.2871398614609943,0.001,2,true,3.8442
10,0.5771584221545387,0.31709147200864907,0.1730857675566393,0.2899372744209626,0.001,2,true,3.9716
11,0.5785745610209072,0.31832225270131054,0.17681233847842498,0.27813320168677497,0.001,2,true,3.9236
12,0.577644110602491,0.31979690010056777,0.175541193169706,0.27435335955199075,0.001,2,true,4.1717
13,0.5594096008469077,0.30944182416971994,0.16861776481656468,0.2711666853112333,0.001,2,true,3.541
14,0.5854054961134406,0.3326013495816904,0.17364573128083172,0.2638613761347883,0.001,2,true,24.6571
15,0.5214827937238357,0.28900369782658186,0.15462117598337285,0.2595263750237577,0.001,2,true,3.8898
16,0.4883851829697104,0.26576193246771307,0.14795355323482962,0.24889895758208105,0.001,2,true,3.9308
17,0.485317415174316,0.26968812241273765,0.1430722457521102,0.24185679195558324,0.001,2,true,3.7643
18,0.5015753174529356,0.2756527469438665,0.15346960811054006,0.24150986925644033,0.001,2,true,3.9368
19,0.47501353481236624,0.26495873139185067,0.1397683734402937,0.23428807363790624,0.001,2,true,3.442
20,0.44651881912175345,0.24436905410359888,0.1333348111194723,0.2293831666602808,0.001,2,true,3.8849
21,0.44612196263145,0.25060268579160466,0.12839273056563208,0.22375515322474873,0.001,2,true,4.0048
22,0.46186889620388255,0.2566574202740894,0.13813044306109934,0.22360343617551467,0.001,2,true,3.7305
23,0.4672733238514732,0.2625126229489551,0.1370762604124406,0.22561478833941853,0.001,2,true,3.9716
24,0.4126291384591776,0.22711624993997462,0.12027076500303605,0.2174737291300998,0.0005,2,true,3.4497
25,0.37894294849213433,0.2036950320881956,0.11278361082077026,0.20821435968665516,0.0005,2,true,3.4809
26,0.37354469255489464,0.20070456318995533,0.11031299478867475,0.2084237714024151,0.0005,2,true,4.0681
27,0.34500117643791084,0.18045802282936432,0.10437046254382414,0.20057562607176163,0.0005,2,true,3.989
28,0.3653814279857804,0.1994392624234452,0.10509218363200917,0.20283325849210515,0.0005,2,true,3.9973
29,0.35684024586397056,0.19019591479617007,0.10623841864221237,0.2013530319227892,0.0005,2,true,4.0096
30,0.34111787729403553,0.1826181475292234,0.09855861786533804,0.19980370121843674,0.0005,2,true,3.9033
31,0.32472269324695363,0.1699600344633355,0.09513271906796623,0.19876646425794153,0.0005,2,true,3.9056
32,0.3516748692182934,0.18901010799933882,0.10271777475581449,0.1998232695109704,0.0005,2,true,3.9841
33,0.38248175031998577,0.2144766068633865,0.10813549511572894,0.1995654866537627,0.0005,2,true,3.7785
34,0.3340483224567245,0.17899763825185158,0.09589156946715187,0.19719703495502472,0.0005,2,true,3.9671
35,0.32870654717964287,0.1756992532926447,0.09423045901691213,0.19592277355053844,0.0005,2,true,3.9724
36,0.33683155652354746,0.18159624452100082,0.09548135627718533,0.19917983561754227,0.0005,2,true,3.9596
37,0.32206282107269063,0.17122669255032258,0.0928070431246477,0.19343028502429233,0.00025,2,true,3.4091
38,0.3037946780814844,0.16024068874471328,0.08675837692092447,0.1893187005291967,0.00025,2,true,3.9029
39,0.3076616718488581,0.16203195667442152,0.08862383050077102,0.19001960601000226,0.00025,2,true,9.2672
40,0.2763987223015112,0.13976358731879907,0.0814806012546315,0.1838484336348141,0.00025,2,true,3.8329
41,0.3066902533173561,0.16645471138112686,0.08495729197474088,0.18426083378932057,0.00025,2,true,3.4604
42,0.29885665546445284,0.1602359225644785,0.08298971021876615,0.18543673438184402,0.00025,2,true,3.8469
43,0.29780996547025795,0.1548069099731305,0.0879625818308662,0.1834682447507101,0.00025,2,true,3.9007
44,0.302016799502513,0.1595839047256638,0.08661706219701205,0.18605277468176448,0.00025,2,true,3.8655
45,0.3000846662942101,0.15938498386565378,0.08390273066128001,0.1893231726306326,0.00025,2,true,3.9238
46,0.3158343311618356,0.17019637345391161,0.09003853184335373,0.18533141144058285,0.000125,2,true,3.7806
47,0.2865207686143763,0.15152718302081614,0.08061391115188599,0.18126557394862175,0.000125,2,true,3.7467
