epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,epoch_loss_boundary,epoch_loss_distance,lr,batch_size,amp,epoch_time_sec
1,0.964141400421367,0.5971671211368897,0.3669742827906328,0.0,0.0,0.001,2,true,7.645
2,0.8919991412583519,0.5558213091948453,0.33617782855735107,0.0,0.0,0.001,2,true,7.0807
3,0.8083536502193002,0.5004830614608877,0.30787058788187366,0.0,0.0,0.001,2,true,11.1704
4,0.7577102096641765,0.4754687354845159,0.28224147242658276,0.0,0.0,0.001,2,true,6.8978
5,0.7102251245695002,0.44991859968970804,0.26030652838594776,0.0,0.0,0.001,2,true,6.8887
6,0.7891391059931587,0.5047188225914451,0.28442028252517476,0.0,0.0,0.001,2,true,6.9286
7,0.7216830919770634,0.4598661976702073,0.26181689430685606,0.0,0.0,0.001,2,true,6.8627
8,0.7129469794385573,0.453744612634182,0.25920236724264484,0.0,0.0,0.001,2,true,7.1094
9,0.6749568616642672,0.4320899791577283,0.2428668903953889,0.0,0.0,0.001,2,true,6.8085
10,0.6460791686001945,0.408945505233372,0.2371336668729782,0.0,0.0,0.001,2,true,7.189
11,0.6097232129643945,0.3915800040259081,0.21814321069156423,0.0,0.0,0.0005,2,true,6.8077
12,0.5889520022798987,0.37999702376477856,0.20895497237934785,0.0,0.0,0.0005,2,true,11.4675
13,0.5740105518523384,0.36407433099606457,0.209936219979735,0.0,0.0,0.0005,2,true,7.2752
14,0.5638288697775673,0.36346887840944175,0.20035999136812546,0.0,0.0,0.0005,2,true,6.8777
15,0.5711639961775612,0.36714790454682183,0.20401609119246988,0.0,0.0,0.0005,2,true,6.8077
16,0.5562252086751601,0.359579399228096,0.1966458120766808,0.0,0.0,0.0005,2,true,6.6133
17,0.5268759657354916,0.33892954579171014,0.18794641950551202,0.0,0.0,0.0005,2,true,7.1439
18,0.5408616030917448,0.35010390378096523,0.19075769711943233,0.0,0.0,0.0005,2,true,6.8161
19,0.5176305639393189,0.3318464308977127,0.18578413391814513,0.0,0.0,0.0005,2,true,6.876
20,0.5288942070568309,0.34449666037279014,0.18439754668404074,0.0,0.0,0.0005,2,true,6.8395
21,0.497785821557045,0.3207342120654443,0.1770516064237146,0.0,0.0,0.0005,2,true,6.8415
22,0.48461615776314454,0.31356120723135333,0.17105494790217457,0.0,0.0,0.0005,2,true,6.801
23,0.5073014094549066,0.3280709372723804,0.17923047262079575,0.0,0.0,0.0005,2,true,6.8623
24,0.49730906854657564,0.32267214226372104,0.1746369240915074,0.0,0.0,0.0005,2,true,7.0988
25,0.49557164662024555,0.32454104546238394,0.17103059852824493,0.0,0.0,0.0005,2,true,6.8955
26,0.5505333367516013,0.3615512475371361,0.18898208965273464,0.0,0.0,0.0005,2,true,7.1399
27,0.4897490446181858,0.320749514243182,0.1689995264305788,0.0,0.0,0.0005,2,true,6.906
28,0.4932356967645533,0.3171207308769226,0.17611496588763068,0.0,0.0,0.0005,2,true,6.7362
29,0.4837677391136394,0.31408317956854315,0.16968456261298237,0.0,0.0,0.0005,2,true,6.8759
30,0.47829899016548605,0.31230783813139973,0.1659911581698586,0.0,0.0,0.0005,2,true,6.9762
31,0.4667682638939689,0.30389750354430256,0.1628707568435108,0.0,0.0,0.0005,2,true,6.8684
32,0.4619186472366838,0.30188722689362135,0.16003141858998468,0.0,0.0,0.0005,2,true,7.0425
33,0.46103497726075787,0.2983992104144657,0.16263576640802271,0.0,0.0,0.0005,2,true,7.1031
34,0.45213451367967267,0.2924751459675677,0.15965937077999115,0.0,0.0,0.0005,2,true,6.7876
35,0.4136511823710273,0.2685710980611689,0.14508008168024175,0.0,0.0,0.0005,2,true,7.0928
