epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,epoch_loss_boundary,epoch_loss_distance,lr,batch_size,amp,epoch_time_sec
1,0.9870710776132696,0.5764141284367618,0.41065694829996896,0.0,0.0,0.001,2,true,8.6355
2,0.8371608450132257,0.49317731839769025,0.3439835283686133,0.0,0.0,0.001,2,true,7.7511
3,0.75972118973732,0.4526321037727244,0.30708909034729004,0.0,0.0,0.001,2,true,7.6909
4,0.7513852470061358,0.458939312135472,0.29244593224104715,0.0,0.0,0.001,2,true,7.5428
5,0.6479224851902794,0.39274895717115965,0.25517352626604195,0.0,0.0,0.001,2,true,7.7892
6,0.6569283578325721,0.4090448109542622,0.2478835477548487,0.0,0.0,0.001,2,true,7.6779
7,0.6426345048581853,0.4053872310939957,0.2372472715728423,0.0,0.0,0.001,2,true,7.4779
8,0.6071224449311986,0.38159627730355544,0.22552616981899037,0.0,0.0,0.001,2,true,7.536
9,0.5552643344682806,0.35153591326054406,0.20372842339908376,0.0,0.0,0.001,2,true,7.2145
10,0.4673685545430464,0.29194821724120307,0.17542033861665166,0.0,0.0,0.001,2,true,7.4643
11,0.5239554617334815,0.33634888380765915,0.1876065757344751,0.0,0.0,0.001,2,true,7.4907
12,0.4935539838145761,0.31651656066670136,0.17703742051825805,0.0,0.0,0.001,2,true,7.5639
13,0.4658531721900491,0.3035035711877486,0.1623495992492227,0.0,0.0,0.001,2,true,7.3231
14,0.46116668161223917,0.298326560679604,0.16284012356225183,0.0,0.0,0.001,2,true,7.9927
15,0.4720134559799643,0.3094971894341357,0.162516267860637,0.0,0.0,0.001,2,true,7.3034
16,0.43310390325153575,0.27905804313281,0.15404586231007295,0.0,0.0,0.001,2,true,7.5653
17,0.4194417876355788,0.2743908114293042,0.14505097795935237,0.0,0.0,0.001,2,true,23.6929
18,0.40952905574265647,0.2650367771001423,0.14449227820424473,0.0,0.0,0.001,2,true,7.4784
19,0.4074885840801632,0.2632827688665951,0.14420581389875972,0.0,0.0,0.001,2,true,7.2949
20,0.4071505280102001,0.2666969974251354,0.1404535323381424,0.0,0.0,0.001,2,true,7.5134
21,0.38359394581878886,0.25038858503103256,0.13320535947294795,0.0,0.0,0.001,2,true,7.588
22,0.34335605405709324,0.22357620386516347,0.11977984800058253,0.0,0.0,0.0005,2,true,7.4298
23,0.33906929151100274,0.2165106771623387,0.12255861654001124,0.0,0.0,0.0005,2,true,7.4747
24,0.3125935806071057,0.20121951335493257,0.1113740687861162,0.0,0.0,0.0005,2,true,10.906
25,0.3223806308472858,0.2078972428160555,0.11448338890776914,0.0,0.0,0.0005,2,true,7.9307
26,0.324431193225524,0.214919936569298,0.10951125797103434,0.0,0.0,0.0005,2,true,12.1431
27,0.34584241316599007,0.2293916883714059,0.11645072347977582,0.0,0.0,0.0005,2,true,9.959
28,0.31317931983400793,0.20538800472722335,0.10779131598332349,0.0,0.0,0.0005,2,true,8.1366
29,0.3079180046916008,0.20189550694297342,0.10602249731035794,0.0,0.0,0.0005,2,true,7.9688
30,0.31817253153113756,0.20627557924565146,0.11189695228548611,0.0,0.0,0.0005,2,true,7.503
31,0.3006678990581456,0.19716277148793726,0.10350512669366949,0.0,0.0,0.0005,2,true,7.3295
32,0.33480823346797156,0.22368470886174371,0.11112352329141953,0.0,0.0,0.0005,2,true,7.589
33,0.3264324310071328,0.2165336126790327,0.10989881613675286,0.0,0.0,0.0005,2,true,7.5706
34,0.35762665201635924,0.23299764797968023,0.12462900666629567,0.0,0.0,0.0005,2,true,7.8717
35,0.30924953432644114,0.20560098351801143,0.10364854949362137,0.0,0.0,0.0005,2,true,7.3825
36,0.29853684279848547,0.19759348999051488,0.10094335149316226,0.0,0.0,0.0005,2,true,7.5805
37,0.2982689365744591,0.19829888992449818,0.09997004358207479,0.0,0.0,0.0005,2,true,7.4999
38,0.31233489469570275,0.20267167665502606,0.1096632200128892,0.0,0.0,0.0005,2,true,7.5053
39,0.2765229046344757,0.18205958100802758,0.09446332296904396,0.0,0.0,0.0005,2,true,7.4911
40,0.2713432035901967,0.17791396379470825,0.09342923935721903,0.0,0.0,0.0005,2,true,7.5962
41,0.3051440597457044,0.20264016245217883,0.10250389575958252,0.0,0.0,0.0005,2,true,7.5095
42,0.28046832452802095,0.1827915946350378,0.09767672945471371,0.0,0.0,0.0005,2,true,7.265
43,0.26960858220563216,0.17741650605902953,0.09219207570833318,0.0,0.0,0.0005,2,true,7.5465
44,0.2508162540547988,0.16245737386976972,0.08835888084243326,0.0,0.0,0.0005,2,true,7.6106
45,0.2486804912195486,0.16235970508526354,0.08632078591515036,0.0,0.0,0.0005,2,true,7.4802
46,0.2699304082814385,0.1789698405739139,0.09096056661185097,0.0,0.0,0.0005,2,true,7.5175
47,0.2791720698861515,0.1851539984345436,0.09401806838372175,0.0,0.0,0.0005,2,true,7.4089
48,0.2529519358102013,0.16525220629923484,0.0876997288535623,0.0,0.0,0.0005,2,true,7.7435
49,0.2603107765316963,0.17204485132413752,0.08826592652236714,0.0,0.0,0.00025,2,true,7.2021
50,0.23320212784935446,0.1531333298805882,0.08006879774963155,0.0,0.0,0.00025,2,true,7.3296
51,0.23718150485964382,0.15371736906030598,0.08346413689501145,0.0,0.0,0.00025,2,true,7.792
52,0.21712420793140635,0.14019396681995952,0.07693024242625517,0.0,0.0,0.00025,2,true,24.237
53,0.21635228263981202,0.13945001013138714,0.07690227294669431,0.0,0.0,0.00025,2,true,7.5021
54,0.20259082887102575,0.1311045935487046,0.07148623554145589,0.0,0.0,0.00025,2,true,7.4379
55,0.20830724476014867,0.13527697237098918,0.07303027195089004,0.0,0.0,0.000125,2,true,7.648
56,0.20748470241532607,0.13472741645048647,0.07275728618397433,0.0,0.0,0.000125,2,true,7.6151
57,0.21598024753963246,0.14085743883076837,0.0751228087088641,0.0,0.0,0.000125,2,true,8.2456
58,0.19463894384748795,0.12326313577154104,0.07137580829508164,0.0,0.0,0.000125,2,true,7.8633
59,0.2105086774510496,0.13694055466090932,0.07356812322840971,0.0,0.0,0.000125,2,true,7.8011
60,0.20222337631618276,0.13039321978302562,0.07183015697142657,0.0,0.0,0.000125,2,true,7.9052
